medicineID	medicineName	medicineType	dosageType	drugRoute	company	drug	dosages	activeIngredientUnit	pharmacologicalClasses	category
271	AMLODIPINE AND OLMESARTAN MEDOXOMIL 	Antihypertensive	TABLET	ORAL	Micro Labs Limited	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL	5;20;10;40	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
272	Amlodipine and Olmesartan Medoxomil 	Antihypertensive	TABLET	ORAL	medsource pharmaceuticals	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL	10;40;5;20	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
273	Amlodipine and Olmesartan Medoxomil 	Antihypertensive	TABLET	ORAL	"ScieGen Pharmaceuticals, Inc"	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL	5;20;40;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
274	Amlodipine and Olmesartan Medoxomil 	Antihypertensive	TABLET	ORAL	"Sun Pharmaceutical Industries, Inc."	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL	5;20	mg/1	"Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC],Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
275	Amlodipine and Olmesartan Medoxomil 	Antihypertensive	TABLET	ORAL	"Sun Pharmaceutical Industries, Inc."	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL	10;20;5;40	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
276	Amlodipine and olmesartan medoxomil 	Antihypertensive	TABLET	ORAL	Jubilant Cadista Pharmaceuticals Inc.	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL	5;20;40;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
277	Amlodipine and Olmesartan Medoxomil 	Antihypertensive	TABLET	ORAL	Bryant Ranch Prepack	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL	5;20	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
278	Amlodipine and Olmesartan Medoxomil 	Antihypertensive	TABLET	ORAL	Aurobindo Pharma Limited	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL	5;20;40;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
279	Amlodipine and olmesartan Medoxomil 	Antihypertensive	TABLET	ORAL	"Ascend Laboratories, LLC"	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL	5;20	mg/1	"Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC],Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
280	Amlodipine and olmesartan Medoxomil 	Antihypertensive	TABLET	ORAL	"Ascend Laboratories, LLC"	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL	10;20;5;40	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
281	Amlodipine and olmesartan medoxomil 	Antihypertensive	TABLET	ORAL	Zydus Pharmaceuticals (USA) Inc.	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL	5;20;10;40	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
282	Amlodipine and Olmesartan Medoxomil 	Antihypertensive	TABLET	ORAL	"Glenmark Pharmaceuticals Inc., USA"	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL	5;20;10;40	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
283	Amlodipine and olmesartan medoxomil 	Antihypertensive	TABLET	ORAL	Cadila Healthcare Limited	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL	5;20;10;40	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
284	AMLODIPINE AND VALSARTAN 	Antihypertensive	TABLET	ORAL	Mylan Pharmaceuticals Inc.	AMLODIPINE BESYLATE; VALSARTAN	5;160;10;320	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
285	Amlodipine and Valsartan 	Antihypertensive	TABLET	ORAL	"AvKARE, Inc."	AMLODIPINE; VALSARTAN	5;160;320;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
286	AMLODIPINE and VALSARTAN 	Antihypertensive	TABLET	ORAL	"Lupin Pharmaceuticals, Inc."	AMLODIPINE BESYLATE; VALSARTAN	10;320;5;160	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
287	Amlodipine and Valsartan 	Antihypertensive	TABLET	ORAL	Alembic Pharmaceuticals Limited	AMLODIPINE BESYLATE; VALSARTAN	5;160;10;320	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
288	Amlodipine and Valsartan 	Antihypertensive	TABLET	ORAL	"Par Pharmaceutical, Inc."	AMLODIPINE; VALSARTAN	5;160;10;320	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
289	AMLODIPINE AND VALSARTAN 	Antihypertensive	TABLET	ORAL	A-S Medication Solutions	AMLODIPINE BESYLATE; VALSARTAN	10;320	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
290	Amlodipine and Valsartan 	Antihypertensive	TABLET	ORAL	Alembic Pharmaceuticals Inc.	AMLODIPINE BESYLATE; VALSARTAN	5;160;10;320	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
291	Amlodipine and valsartan 	Antihypertensive	TABLET	ORAL	Aurobindo Pharma Limited	AMLODIPINE BESYLATE; VALSARTAN	5;160;320;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
292	Amlodipine and Valsartan 	Antihypertensive	TABLET	ORAL	"Lupin Pharmaceuticals, Inc."	AMLODIPINE BESYLATE; VALSARTAN	5;160;10;320	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	HUMAN PRESCRIPTION DRUG
293	Amlodipine besylate 	Antihypertensive	TABLET	ORAL	Hikma Pharmaceuticals USA Inc.	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
294	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	"NCS HealthCare of KY, Inc dba Vangard Labs"	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
295	amlodipine besylate 	Antihypertensive	TABLET	ORAL	"Upsher-Smith Laboratories, LLC"	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
296	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Major Pharmaceuticals	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
297	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Apotheca Inc.	AMLODIPINE BESYLATE	5;2.5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
298	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"Unichem Pharmaceuticals (USA), Inc."	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
299	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	QPharma Inc	AMLODIPINE BESYLATE	5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
300	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	"Epic Pharma, LLC"	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
301	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	"PD-Rx Pharmaceuticals, Inc."	AMLODIPINE BESYLATE	10;5;2.5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
302	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"Aphena Pharma Solutions - Tennessee, LLC"	AMLODIPINE BESYLATE	5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
303	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"China Resources Saike Pharmaceutical Co., Ltd."	AMLODIPINE BESYLATE	5;10;2.5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
304	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	A-S Medication Solutions	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
305	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	AvPAK	AMLODIPINE BESYLATE	5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
306	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Northwind Pharmaceuticals	AMLODIPINE BESYLATE	5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
307	amlodipine besylate 	Antihypertensive	TABLET	ORAL	POLYGEN PHARMACEUTICALS INC.	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
308	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	DOH CENTRAL PHARMACY	AMLODIPINE BESYLATE	5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
309	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Cardinal Health	AMLODIPINE BESYLATE	5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
310	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"Cardinal Health, Inc."	AMLODIPINE BESYLATE	10;5;2.5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
311	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Lake Erie Medical DBA Quality Care Products LLC	AMLODIPINE BESYLATE	10;5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
312	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"Quality Care Products, LLC"	AMLODIPINE BESYLATE	2.5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
313	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	"Clinical Solutions Wholesale, LLC"	AMLODIPINE BESYLATE	5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
314	amlodipine besylate 	Antihypertensive	TABLET	ORAL	Greenstone LLC	AMLODIPINE BESYLATE	5;10;2.5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
315	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	American Health Packaging	AMLODIPINE BESYLATE	5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
316	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	St. Mary's Medical Park Pharmacy	AMLODIPINE BESYLATE	10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
317	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	DIRECT RX	AMLODIPINE BESYLATE	5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
318	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	Direct_Rx	AMLODIPINE BESYLATE	10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
319	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	DirectRX	AMLODIPINE BESYLATE	10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
320	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	DIRECT RX	AMLODIPINE BESYLATE	5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
321	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	DirectRX	AMLODIPINE BESYLATE	5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
322	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	Direct_Rx	AMLODIPINE BESYLATE	5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
323	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	Proficient Rx LP	AMLODIPINE BESYLATE	10;5;2.5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
324	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Bryant Ranch Prepack	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
325	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	McKesson Corporation dba SKY Packaging	AMLODIPINE BESYLATE	10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
326	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Amneal Pharmaceuticals LLC	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
327	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Cadila Healthcare Limited	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
328	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Aurobindo Pharma Limited	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
329	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Contract Pharmacy Services-PA	AMLODIPINE BESYLATE	5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
330	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Contract Pharmacy Services- PA	AMLODIPINE BESYLATE	5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
331	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"RedPharm Drug, Inc."	AMLODIPINE BESYLATE	5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
332	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"Ascend Laboratories, LLC"	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
333	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	"NuCare Pharmaceuticals,Inc."	AMLODIPINE BESYLATE	5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
334	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	"NuCare Pharmaceuticals, Inc."	AMLODIPINE BESYLATE	5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
335	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"NuCare Pharmaceuticals,Inc."	AMLODIPINE BESYLATE	10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
336	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	"NuCare Pharmaceuticals, Inc."	AMLODIPINE BESYLATE	2.5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
337	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"NuCare Pharmaceuticals,Inc."	AMLODIPINE BESYLATE	5;2.5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
338	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"Lupin Pharmaceuticals, Inc."	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
339	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Zydus Pharmaceuticals (USA) Inc.	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
340	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"Legacy Pharmaceutical Packaging, LLC"	AMLODIPINE BESYLATE	5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
341	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	Preferred Pharmaceuticals Inc.	AMLODIPINE BESYLATE	10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
342	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Preferred Pharmaceutical Inc.	AMLODIPINE BESYLATE	5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
343	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	Preferred Pharmaceuticals Inc.	AMLODIPINE BESYLATE	5;2.5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
344	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"Preferred Pharmaceuticals, Inc."	AMLODIPINE BESYLATE	5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
345	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Cipla USA Inc.	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
346	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	REMEDYREPACK INC.	AMLODIPINE BESYLATE	10;2.5;5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
347	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"Denton Pharma, Inc. DBA Northwind Pharmaceuticals"	AMLODIPINE BESYLATE	10;5;2.5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
348	AMLODIPINE BESYLATE 	Antihypertensive	TABLET	ORAL	"ACI Healthcare USA, Inc."	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
349	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Proficient Rx LP	AMLODIPINE BESYLATE	10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
350	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	Bryant Ranch Prepack	AMLODIPINE BESYLATE	10;5;2.5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
351	amlodipine besylate 	Antihypertensive	TABLET	ORAL	"Aphena Pharma Solutions - Tennessee, LLC"	AMLODIPINE BESYLATE	10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
352	Amlodipine Besylate 	Antihypertensive	TABLET	ORAL	"PD-Rx Pharmaceuticals, Inc."	AMLODIPINE BESYLATE	2.5	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
353	Amlodipine besylate 	Antihypertensive	TABLET	ORAL	"Exelan Pharmaceuticals, Inc."	AMLODIPINE BESYLATE	2.5;5;10	mg/1	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [CS]"	HUMAN PRESCRIPTION DRUG
